X,Y,R.mantel,P.mantel,R.cosine,P.cosine,P.transform,P.adjust,class.w
75,85,0.993225398772969,1,0.993370005304011,1,0,0,tomato
75,90,0.987501617638216,1,0.9877431311091,1,0,0,tomato
75,95,0.986623523418018,1,0.98689490960024,1,0,0,tomato
75,100,0.983787584015188,1,0.984137381858076,1,0,0,tomato
80,85,0.998923115255051,1,0.998947022946073,1,0,0,tomato
80,90,0.991555135104172,1,0.991728258326078,1,0,0,tomato
80,95,0.990056352717566,1,0.990267602614856,1,0,0,tomato
80,100,0.984918310616324,1,0.985249787060489,1,0,0,tomato
85,90,0.990945257874288,1,0.991133154803488,1,0,0,tomato
85,95,0.989445234565106,1,0.989670742958269,1,0,0,tomato
85,100,0.98419373638722,1,0.984540915376064,1,0,0,tomato
90,95,0.99950833528863,1,0.99951825329082,1,0,0,tomato
90,100,0.995264705900187,1,0.99536289166252,1,0,0,tomato
95,100,0.997320759411201,1,0.997377356132852,1,0,0,tomato
5,0,0.996343059774421,1,0.996495900481117,1,0,0,tomato
10,0,0.98522571407631,1,0.985806391121616,1,0,0,tomato
15,0,0.83418957036523,0.12,0.840275543012488,0.07,0.07,0.0777777777777778,white
20,0,0.827810561630176,0.54,0.833982916159436,0.49,0.49,0.49,white
25,0,0.84134310150275,0.9,0.847334189639889,0.9,0.1,0.105527638190955,white
30,0,0.823463978930801,0.91,0.829700581085807,0.91,0.09,0.0974226804123711,white
35,0,0.807031016088948,0.86,0.813480419869202,0.85,0.15,0.155172413793103,white
40,0,0.803826589879109,0.9,0.810280921218636,0.9,0.1,0.105527638190955,white
45,0,0.782121020987968,0.96,0.788525955969492,0.96,0.04,0.0491228070175439,tomato
50,0,0.771094288108238,0.96,0.777483308181198,0.95,0.05,0.0583333333333334,white
55,0,0.766835784999102,0.98,0.773263865190202,0.98,0.02,0.0270967741935484,tomato
60,0,0.762244956371428,0.97,0.768707879361183,0.97,0.03,0.0384146341463415,tomato
65,0,0.762201028729302,0.96,0.768618870032803,0.96,0.04,0.0491228070175439,tomato
70,0,0.757726990359892,0.98,0.76423894745225,0.98,0.02,0.0270967741935484,tomato
75,0,0.756698420783141,1,0.763206145682366,1,0,0,tomato
80,0,0.739030302418137,0.96,0.745728147257072,0.96,0.04,0.0491228070175439,tomato
85,0,0.738273653624765,0.96,0.744942048796794,0.97,0.03,0.0384146341463415,tomato
90,0,0.72465750121075,1,0.731347839869421,1,0,0,tomato
95,0,0.730208839465308,0.99,0.736821051184992,0.99,0.01,0.0148936170212766,tomato
100,0,0.741350035415663,1,0.747748137744522,1,0,0,tomato
10,5,0.99159483130194,1,0.991939605892255,1,0,0,tomato
15,5,0.850766482180982,0.08,0.856190236215713,0.07,0.07,0.0777777777777778,white
20,5,0.846768075901097,0.27,0.852199334727534,0.24,0.24,0.245853658536585,white
25,5,0.865406843493221,0.91,0.870415896291829,0.91,0.09,0.0974226804123711,white
30,5,0.851431093710705,0.91,0.856584615720513,0.91,0.09,0.0974226804123711,white
35,5,0.837635795822516,0.9,0.842943540249396,0.9,0.1,0.105527638190955,white
40,5,0.834845946222303,0.9,0.840155581894956,0.9,0.1,0.105527638190955,white
45,5,0.816434815695147,0.93,0.82165979795458,0.93,0.07,0.0777777777777778,white
50,5,0.806700735339822,0.94,0.811900295064652,0.94,0.0600000000000001,0.0692307692307693,white
55,5,0.802559926863824,0.92,0.807802395049039,0.92,0.08,0.087958115183246,white
60,5,0.798378307931289,0.94,0.803650370299696,0.94,0.0600000000000001,0.0692307692307693,white
65,5,0.798042829686787,0.93,0.80328526265392,0.93,0.07,0.0777777777777778,white
70,5,0.794432114954854,0.93,0.799740245522513,0.93,0.07,0.0777777777777778,white
75,5,0.793649990084986,0.95,0.79894860877295,0.95,0.05,0.0583333333333334,white
80,5,0.777258629477637,0.94,0.78272834203823,0.93,0.07,0.0777777777777778,white
85,5,0.776693702754421,0.92,0.782132431251829,0.92,0.08,0.087958115183246,white
90,5,0.762963686722903,0.98,0.76845730524009,0.98,0.02,0.0270967741935484,tomato
95,5,0.767535162113472,0.97,0.77297931557852,0.97,0.03,0.0384146341463415,tomato
100,5,0.777070575324425,0.98,0.782351774012246,0.98,0.02,0.0270967741935484,tomato
15,10,0.884031680436697,0.27,0.888164074765619,0.26,0.26,0.26504854368932,white
20,10,0.882487671275083,0.61,0.886562341270786,0.59,0.41,0.413942307692308,white
25,10,0.86152134572991,0.95,0.866658318415482,0.95,0.05,0.0583333333333334,white
30,10,0.850244437760097,0.97,0.855451028023592,0.97,0.03,0.0384146341463415,tomato
35,10,0.83921353583208,0.97,0.844493722274293,0.95,0.05,0.0583333333333334,white
40,10,0.835262970356561,0.96,0.840594091353926,0.96,0.04,0.0491228070175439,tomato
45,10,0.81930026247635,1,0.824508142044081,1,0,0,tomato
50,10,0.809337634109258,0.99,0.81454729354901,0.99,0.01,0.0148936170212766,tomato
55,10,0.80547250662743,1,0.810718531604288,1,0,0,tomato
60,10,0.802583708706481,0.99,0.80781981939847,0.99,0.01,0.0148936170212766,tomato
65,10,0.802703769186059,1,0.807898162490204,1,0,0,tomato
70,10,0.799503462782098,1,0.804749642906468,1,0,0,tomato
75,10,0.799105927881326,1,0.804331841858718,1,0,0,tomato
80,10,0.785179217057457,1,0.790504319127205,1,0,0,tomato
85,10,0.784288688154975,0.99,0.789596883769135,0.99,0.01,0.0148936170212766,tomato
90,10,0.772182336704774,1,0.777506500293282,1,0,0,tomato
95,10,0.775852840162165,1,0.781154769535943,1,0,0,tomato
100,10,0.784041626202898,1,0.789225389299775,1,0,0,tomato
20,15,0.998251245763311,1,0.998305906724995,1,0,0,tomato
25,15,0.788351741385615,0.89,0.79555913046955,0.89,0.11,0.1155,white
30,15,0.780491420108246,0.91,0.78768189736506,0.9,0.1,0.105527638190955,white
35,15,0.772649843791527,0.54,0.779830203431193,0.54,0.46,0.462200956937799,white
40,15,0.769810578515323,0.93,0.777007397194452,0.93,0.07,0.0777777777777778,white
45,15,0.757543937738802,0.98,0.76456565798031,0.98,0.02,0.0270967741935484,tomato
50,15,0.749533084258879,0.98,0.756516403323583,0.98,0.02,0.0270967741935484,tomato
55,15,0.746263356051923,0.98,0.753265131008919,0.98,0.02,0.0270967741935484,tomato
60,15,0.744348952905225,0.97,0.751318831184124,0.97,0.03,0.0384146341463415,tomato
65,15,0.744795360692244,0.95,0.751721600276481,0.95,0.05,0.0583333333333334,white
70,15,0.742044756384056,0.98,0.749005044310286,0.98,0.02,0.0270967741935484,tomato
75,15,0.741900610267343,0.98,0.748837640244826,0.98,0.02,0.0270967741935484,tomato
80,15,0.730822624004948,0.97,0.737778321901059,0.97,0.03,0.0384146341463415,tomato
85,15,0.730128632947981,0.98,0.737065979531834,0.98,0.02,0.0270967741935484,tomato
90,15,0.720024233908195,0.97,0.726931849625553,0.97,0.03,0.0384146341463415,tomato
95,15,0.723023416829218,0.97,0.72992763604963,0.97,0.03,0.0384146341463415,tomato
100,15,0.730027460181861,0.98,0.736858678133451,0.98,0.02,0.0270967741935484,tomato
25,20,0.797381614319217,0.78,0.804179265143988,0.78,0.22,0.226470588235294,white
30,20,0.791802665122151,0.87,0.798535485244153,0.87,0.13,0.135148514851485,white
35,20,0.785071875558981,0.67,0.791781950346207,0.66,0.34,0.344927536231884,white
